name,city,label_id,address,imgsUrl,score,averagePrice,lat,lng
秦陵地宫,1,"[""历史人文""]",临潼区秦陵北路136号,http://zxwpic.weiyoutong.com/15626d73-af3b-44e1-82dd-412796b3ae13.jpg,4.0,35.0,34.3817571,109.2400263
阎良航空科技馆 ,1,"[""都市玩乐""]",阎良区蓝天路88号西安阎良国家航空高技术产业基地管理委员会北侧,http://zxwpic.weiyoutong.com/02e0da98-c9dd-4bb4-aae9-5e2d9104af09.jpg,4.2,,34.644854,109.201625
高家大院,1,"[""历史人文""]",莲湖区北院门144号,http://zxwpic.weiyoutong.com/5c62b1ad-ecf0-4b3f-89d8-73d1c6a336a8.jpg,4.3,,34.2620628,108.9434396
灞渭桥车游湿地,1,"[""自然生态""]",渭河河堤路与灞河东路交汇处,http://zxwpic.weiyoutong.com/90da8b13-5fe3-47b4-a012-141b98e6a013.jpg,0.0,,34.3674436,109.0149889
渭水汤苑温泉,1,"[""滑雪泡汤""]",经开区草滩生态产业园尚稷路西段草滩12路,http://zxwpic.weiyoutong.com/383affed-9654-4ba2-b4f5-b999878816f4.webp,4.5,128.0,34.368114,108.872199
西安大唐西市文化景区,1,"[""历史人文""]",莲湖区劳动南路118号,http://zxwpic.weiyoutong.com/86a97d92-a38b-416e-a264-100a5eb04e82.jpg,4.5,25.0,34.2483048,108.9100288
竹林畔滑雪场,1,"[""滑雪泡汤""]",蓝田县焦岱镇大洋峪村（汤峪镇向东3公里）,http://zxwpic.weiyoutong.com/0742c71c-0b08-4bae-ba9b-77dc4331c503.jpg,4.4,108.0,34.061486,109.246175
关中民俗艺术博物院,1,"[""民俗风情""]",长安区五台古镇南五台山路1号,http://zxwpic.weiyoutong.com/a34e8a36-44d3-4f4b-9de6-1db0b3d9633a.jpg,4.6,100.0,34.039155,108.971151
陕西会客厅冰雪大世界,1,"[""都市玩乐""]",南门外世纪金花东侧陕西会客厅3层,http://zxwpic.weiyoutong.com/b421f44f-d3ee-4214-9607-fed92f0376d4.jpg,4.5,54.0,35.3939908,109.1880047
伏羲岭滑雪场,1,"[""滑雪泡汤""]",蓝田县洩湖镇簸箕掌风景区伏羲岭,http://zxwpic.weiyoutong.com/cfed89e6-0a40-46a6-a304-7bb20b5f5962.jpeg,0.0,98.0,34.222898,109.324929
